エリア	施設	タイムスタンプ	個人情報保護の方針について	全行程での宿泊数をお答えください（石川県以外での宿泊も含みます）	石川県内での宿泊数をお答えください	石川県内での宿泊エリアをお答えください	石川県外での宿泊エリアをお答えください	今回はどなたと石川県を訪れていますか？	今回の石川県の訪問目的は何ですか？（複数選択可）	石川県外から訪れた方にお聞きします。今回は主にどのような交通手段で石川県に来られましたか。※2つまでお答えください	次に、 当施設  を訪れる際に利用した主な交通手段をお答えください。※2つまでお答えください	前の設問で「自家用車」「徒歩」以外を選択された方にお聞きします。当該の交通手段をお使いいただいた満足度をお聞かせください。	上記満足度の理由について、具体的に教えてください	今回の旅行またはお出かけにおける、石川県内での具体的な宿泊費をお答えください。（予定でも可/１人あたり）	今回の旅行またはお出かけにおける石川県内での具体的な交通費をお答えください。（予定でも可/１人あたり） ※石川県外からの交通費、石川県内での交通費を含む。	今回の旅行またはお出かけにおける、石川県内での具体的な現地消費額をお答えください。（予定でも可/１人あたり） ※飲食、買い物、体験・観光などの消費額合計 ※宿泊費、交通費を除く	これまでに   当施設   には何度訪れたことがありますか。	今回   当施設   を訪れる際に参考にした情報源は何ですか？（複数選択可）	当施設   の前に訪れた主な場所（施設やスポット名称、エリアなど）を、次の名称リストからひとつ選んでください。  ※名称リストにない場所の場合は、「選択なし/該当施設なし」を選び、次の設問でお答えください。 ※当施設   が最初に訪れた場所である場合は、「選択なし/該当施設なし」をお選びください。	上記名称リストにない場合について、具体的にお答えください。(前)	当施設   の後に訪れる予定の場所（施設やスポット名称、エリア）を、次の名称リストからひとつ選んでください  ※名称リストにない場所の場合は、「選択なし/該当施設なし」を選び、次の設問でお答えください。 ※当施設    が最後に訪れた場所である場合は、「選択なし/該当施設なし」をお選びください。	上記名称リストにない場合について、具体的にお答えください。(後)	当施設    における、消費総額をお答えください。（予定でも可/１人あたり）	当施設 における、商品・サービスの満足度をお答えください	上記満足度の理由につい具体的に教えてください。(サービス)	当施設   における、施設全体の満足度をお答えください。	上記満足度の理由につい具体的に教えてください。(施設全体)	当施設   において、不便を感じたり困ったことはありましたか。	上記不便を感じたり、困ったことについて具体的に教えてください	あなたは石川県への旅行または 当施設 へのお出かけを、どのくらい家族や友人に薦めたいと思いますか。 0（全く薦めたくない）～10（ぜひ薦めたい）でお答えください。	あなたが求めている   当施設   の飲食、土産、アクティビティについて、ご自由にご意見をお聞かせください	今後、再び石川県を訪れたいと思いますか	あなたが求めている石川県の飲食、土産、アクティビティについて、ご自由にご意見をお聞かせください。  (※必須項目です。無ければ「特になし」とご記入ください)	性別をお答えください	生まれた年をお答えください	お住いの都道府県をお答えください	お住いの市区町村をお答えください 例：新宿区	世帯年収をお答えください	アンケートに回答しようと思った動機をお答えください	旅全体の総合満足度を教えてください。	石川県への旅行を、どのくらい家族や友人に勧めたいと薦めたいと思いますか。 ０（まったく薦めたくない）～１０（ぜひ薦めたい）でお答え下さい。	今回の旅行またはお出かけにおいて、特に人に薦めたいと感じたものとその理由について具体的に教えてください。
加賀エリア	ホテルエアポート小松	2026/01/01	同意する	1泊	1泊	加賀エリア （山代温泉、山中温泉、片山津温泉、粟津温泉、辰口温泉、加賀市、小松市など）	石川県外には泊まらない	中学生以上連れの家族	宿でのんびり過ごす	県外から訪れていない（石川県内在住）	自家用車			10,000円以上 20,000円未満	10,000円以上 20,000円未満	1,000円未満	2～5回目	インターネット・アプリ	選択なし/該当施設なし		選択なし／該当施設なし	イオン新小松、平和堂	10,000円以上 20,000円未満	満足	必要最小限のものがあれば良い	満足	駅近、駐車場あり、自動チェックインで楽	感じなかった		6	自動IN、素泊まりで人と接触が最低限で楽	石川県在住	プロジェクトマッピングや巨大電光掲示板など、映像が街中で自然に見られると観光地に華やかさと近代観光都市(金沢周辺)のイメージが加わると思う。韓国には街中で映像演出があって素敵だったので。	女	1970	石川県	加賀市	100万円未満	景品が当たる	満足	10	観光、買い物、都会田舎度などバランスが良い
加賀エリア	日本自動車博物館	2026/01/01	同意する	2泊	2泊	加賀エリア （山代温泉、山中温泉、片山津温泉、粟津温泉、辰口温泉、加賀市、小松市など）	石川県外には泊まらない	中学生以上連れの家族	宿でのんびり過ごす, 地元の美味しいものを食べる, 名所、旧跡の観光	飛行機	レンタカー	満足	道が広く運転しやすい	40,000円以上 50,000円未満	50,000円以上 100,000円未満	40,000円以上 50,000円未満	初めて	観光展・物産展, 観光協会等の案内所	日本自動車博物館		石川県立航空プラザ		1,000円以上 3,000円未満	とても満足	想像以上に展示物があったから	とても満足	色気勉強できた	感じなかった		9		機会があれば行きたい	海産物のセンターが沢山あれば良い	男	1980	熊本県	熊本市	700万円以上 800万円未満	景品が当たる	とても満足	9	食事と街並み
加賀エリア	那谷寺	2026/01/01	同意する	4泊以上	4泊以上	加賀エリア （山代温泉、山中温泉、片山津温泉、粟津温泉、辰口温泉、加賀市、小松市など）	石川県外には泊まらない	小学生以下連れの家族	友人・親戚を訪ねる	飛行機	自家用車			使わない	20,000円以上 30,000円未満	50,000円以上 100,000円未満	6～10回目	友人・知人	選択なし/該当施設なし	にこにこパーク	石川県立航空プラザ		使わない	とても満足	毎年きている。寺と神社が融合されていて神秘的	とても満足		感じなかった		10		また行きたい（1年以内）	加賀温泉駅前にもっと観光客が立ち寄れる施設や飲食店があればいいなと思う	女	1988	東京都	世田谷区	1,000万円以上 1,200万円未満	景品が当たる	とても満足	10	食事。珍しいお土産など
加賀エリア	小松空港	2026/01/01	同意する	2泊	石川県内には宿泊しない	石川県内には宿泊しない	東京都	小学生以下連れの家族	宿でのんびり過ごす	県外から訪れていない（石川県内在住）	自家用車			使わない	使わない	1,000円未満	2～5回目	特になし	石川県立航空プラザ		選択なし／該当施設なし		使わない	とても満足		とても満足		感じた	幼児用のトイレがない	8		石川県在住	炉端焼き	男	1990	石川県	白山市	400万円以上 500万円未満	景品が当たる	満足	8	
加賀エリア	大江戸温泉物語Premium 山中グランドホテル	2026/01/01	同意する	1泊	石川県内には宿泊しない	石川県内には宿泊しない	石川県外には泊まらない	親	宿でのんびり過ごす, 温泉や露天風呂	自家用車	自家用車			10,000円以上 20,000円未満	使わない	使わない	初めて	インターネット・アプリ	選択なし/該当施設なし		選択なし／該当施設なし		使わない	満足	広くてきれい	満足	広くてきれい	感じなかった		8		機会があれば行きたい	今回は行けないが、いつか21世紀美術館に行きた	女	1994	京都府	大阪市北区	700万円以上 800万円未満	景品が当たる, 石川県のおすすめ観光スポットが見たい	どちらでもない	5	自家用車ならおすすめ
加賀エリア	小松空港	2026/01/01	同意する	3泊	3泊	金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）	石川県外には泊まらない	中学生以上連れの家族	地元の美味しいものを食べる, 名所、旧跡の観光, まちあるき、都市散策, 友人・親戚を訪ねる	飛行機	路線バス	満足	渋滞もなくスムーズに空港に到着した。欲を言えば片町か香林坊も通ると100%満足でした。	使わない	20,000円以上 30,000円未満	100,000円以上	11回目以上	インターネット・アプリ	選択なし/該当施設なし	兼六園	選択なし／該当施設なし	自宅への帰路につく	1,000円以上 3,000円未満	満足	元旦にも関わらずいくつかの売店があいていて助かりました	満足		感じなかった		9	辻占を買いました。留守番していた家族とやってみます	また行きたい（1年以内）	近江町市場でおいしいものを買って食べる	女	1974	福岡県	福岡市	700万円以上 800万円未満	景品が当たる, ひゃくまんさんが好き, 動く３Dひゃくまんさんを見たい	満足	9	カニが美味しかった
加賀エリア	小松空港	2026/01/02	同意する	3泊	石川県内には宿泊しない	石川県内には宿泊しない	福井県	自分ひとり	友人・親戚を訪ねる	新幹線	在来線, 路線バス	とても満足	短時間、低料金、時刻通りの運行だったため	使わない	1,000円以上 3,000円未満	1,000円以上 3,000円未満	11回目以上	インターネット・アプリ	選択なし/該当施設なし	JR小松駅	選択なし／該当施設なし		使わない	とても満足	スムーズなチェックイン、待合室も快適なため	とても満足	問題が見当たらない	感じなかった		10	チェックイン後に美味しい珈琲が飲める喫茶店があると良い	また行きたい（1年以内）	歩道の雪を熱源で溶かす融雪装置があると、冬の街歩きが更に快適になる	男	1971	神奈川県	横浜市	1,200万円以上 1,500万円未満	景品が当たる, 石川県のおすすめ観光スポットが見たい, 石川県の雑学を知りたい	とても満足	10	
加賀エリア	加賀市観光情報センター　KAGA旅・まちネット	2026/01/02	同意する	2泊	2泊	加賀エリア （山代温泉、山中温泉、片山津温泉、粟津温泉、辰口温泉、加賀市、小松市など）	石川県外には泊まらない	中学生以上連れの家族	宿でのんびり過ごす, 温泉や露天風呂, 地元の美味しいものを食べる	新幹線, 在来線	宿の送迎バス	とても満足	出発時間の要望を聞いてくれる	100,000円以上	10,000円以上 20,000円未満	5,000円以上 10,000円未満	初めて	新聞・雑誌・ガイドブック, 観光パンフレット・ポスター, 観光協会等の案内所	ゆのくにの森		選択なし／該当施設なし		5,000円以上 10,000円未満	満足	石川県の伝統産業が一度に見れたから	満足	石川県の伝統産業が一度に見れたから	感じなかった		9	土産物屋の商品が充実している	また行きたい（1年以内）	新鮮な海の幸	男	1972	京都府	八幡市	400万円以上 500万円未満	景品が当たる, 石川県のおすすめ観光スポットが見たい, 石川県の雑学を知りたい	とても満足	9	温泉
加賀エリア	ふれあい昆虫館	2026/01/02	同意する	4泊以上	石川県内には宿泊しない	石川県内には宿泊しない	富山県	小学生以下連れの家族	テーマパーク（遊園地、動物園、博物館など）	自家用車	自家用車			使わない	3,000円以上 5,000円未満	40,000円以上 50,000円未満	2～5回目	インターネット・アプリ	選択なし/該当施設なし		選択なし／該当施設なし	道の駅白山	1,000円以上 3,000円未満	満足	冬でも虫に会える	満足	可能ならば冬でもふれあいコーナーを全部見たい	感じなかった		8		また行きたい（1年以内）	年末年始に金箔体験ほか博物館美術館が開いていると嬉しいです	女	1986	秋田県	秋田市	900万円以上 1,000万円未満	景品が当たる	満足	8	
加賀エリア	ゆのくに天祥	2026/01/02	同意する	2泊	2泊	加賀エリア （山代温泉、山中温泉、片山津温泉、粟津温泉、辰口温泉、加賀市、小松市など）	石川県外には泊まらない	親	宿でのんびり過ごす, 温泉や露天風呂, 地元の美味しいものを食べる, 名所、旧跡の観光	新幹線, 在来線	在来線, 宿泊施設バス	とても満足		50,000円以上 100,000円未満	10,000円以上 20,000円未満	10,000円以上 20,000円未満	初めて	インターネット・アプリ, 旅行会社	選択なし/該当施設なし	兼六園、金沢城、尾山神社	ゆのくにの森		10,000円以上 20,000円未満	とても満足		とても満足		感じなかった		10		機会があれば行きたい	和菓子、生菓子	女	1986	大阪府	大阪市	500万円以上 600万円未満	景品が当たる	とても満足	10	観光バスが巡回していて便利
加賀エリア	小松空港	2026/01/02	同意する	4泊以上	石川県内には宿泊しない	石川県内には宿泊しない	富山県	自分ひとり	友人・親戚を訪ねる	飛行機	在来線, 路線バス	満足	本数が多いこと	使わない	30,000円以上 40,000円未満	10,000円以上 20,000円未満	11回目以上	友人・知人	那谷寺		選択なし／該当施設なし	なし	20,000円以上 30,000円未満	満足	物販が充実していること	満足	動線に無理がないこと	感じなかった		7	物販が充実しているのはよかったです。飲食は和のものが食べられるところがあればありがたいです。	また行きたい（1年以内）	金沢はパイが限られているところに駅前を無理に開発した感が強く以前の繁華街が閑散としてしまったのが残念です。	男	1968	福岡県	福岡市	1,000万円以上 1,200万円未満	なんとなく	満足	7	海岸線はどこでもいい光景でした 
加賀エリア	いしかわ動物園	2026/01/02	同意する	2泊	2泊	金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）	石川県外には泊まらない	小学生以下連れの家族	テーマパーク（遊園地、動物園、博物館など）, 帰省	レンタカー, 飛行機	レンタカー	とても満足	動物が充実していた。	10,000円以上 20,000円未満	40,000円以上 50,000円未満	30,000円以上 40,000円未満	初めて	インターネット・アプリ	選択なし/該当施設なし		選択なし／該当施設なし		3,000円以上 5,000円未満	とても満足	トイレなど多数あり子連れでも楽しめた。	とても満足	同上	感じなかった		10		また行きたい（1年以内）	美味しい食べ物が充実している。	男	1981	神奈川県	横浜市都筑区	400万円以上 500万円未満	景品が当たる	とても満足	10	動物園は子どもも大人も楽しめる。
加賀エリア	ゆのくに天祥	2026/01/02	同意する	2泊	2泊	加賀エリア （山代温泉、山中温泉、片山津温泉、粟津温泉、辰口温泉、加賀市、小松市など）	石川県外には泊まらない	中学生以上連れの家族	宿でのんびり過ごす, 温泉や露天風呂, 地元の美味しいものを食べる	新幹線, 在来線	旅館送迎バス	とても満足	旅館の入り口までバスで行ける	100,000円以上	10,000円以上 20,000円未満	5,000円以上 10,000円未満	2～5回目	インターネット・アプリ, 旅行会社	ゆのくにの森		選択なし／該当施設なし		5,000円以上 10,000円未満	とても満足	楽しい体験ができた	とても満足	体験メニューが豊富	感じなかった		10		機会があれば行きたい	特になし	女	1958	奈良県	橿原市	500万円以上 600万円未満	景品が当たる	とても満足	10	蕎麦打ち体験
加賀エリア	白峰温泉総湯	2026/01/02	同意する	日帰り	4泊以上	加賀エリア （山代温泉、山中温泉、片山津温泉、粟津温泉、辰口温泉、加賀市、小松市など）	石川県に住んでいる	小学生以下連れの家族	温泉や露天風呂	自家用車	自家用車			5,000円以上 10,000円未満	5,000円以上 10,000円未満	3,000円以上 5,000円未満	6～10回目	インターネット・アプリ	選択なし/該当施設なし		選択なし／該当施設なし		1,000円未満	とても満足	露天風呂があり雪景色を見られて最高！	とても満足	湯加減がちょうどよい！	感じなかった		9		石川県在住	特になし	女	1972	石川県	能美市	1,000万円以上 1,200万円未満	景品が当たる, ひゃくまんさんが好き, 石川県のおすすめ観光スポットが見たい	満足	9	雪景色を見てほしい
加賀エリア	大江戸温泉物語Premium 山中グランドホテル	2026/01/02	同意する	1泊	1泊	加賀エリア （山代温泉、山中温泉、片山津温泉、粟津温泉、辰口温泉、加賀市、小松市など）	石川県外には泊まらない	友人	宿でのんびり過ごす, 温泉や露天風呂, 地元の美味しいものを食べる	新幹線, 在来線	在来線, 新幹線	どちらでもない	名古屋から乗り換えが多くなった	20,000円以上 30,000円未満	10,000円以上 20,000円未満	10,000円以上 20,000円未満	初めて	TV・ラジオ番組やCM, インターネット・アプリ	選択なし/該当施設なし		選択なし／該当施設なし		使わない	満足	オールインクルーシブになっている	満足		感じなかった		6		また行きたい（1年以内）	特になし	男	1982	愛知県	名古屋市	600万円以上 700万円未満	景品が当たる	満足	7	
加賀エリア	大江戸温泉物語Premium 山中グランドホテル	2026/01/02	同意する	1泊	1泊	加賀エリア （山代温泉、山中温泉、片山津温泉、粟津温泉、辰口温泉、加賀市、小松市など）	石川県外には泊まらない	友人	宿でのんびり過ごす, 温泉や露天風呂	新幹線, 在来線	路線バス	とても満足		20,000円以上 30,000円未満	20,000円以上 30,000円未満	10,000円以上 20,000円未満	初めて	インターネット・アプリ	選択なし/該当施設なし		選択なし／該当施設なし		5,000円以上 10,000円未満	とても満足	おいしかった	とても満足	キレイでした	感じなかった		2		機会があれば行きたい	お城	女	1986	愛知県	名古屋市	600万円以上 700万円未満	景品が当たる	とても満足	5	ごはん
加賀エリア	大江戸温泉物語 わんわんリゾート　粟津	2026/01/02	同意する	1泊	1泊	加賀エリア （山代温泉、山中温泉、片山津温泉、粟津温泉、辰口温泉、加賀市、小松市など）	石川県外には泊まらない	中学生以上連れの家族	宿でのんびり過ごす, 温泉や露天風呂	自家用車	自家用車			30,000円以上 40,000円未満	3,000円以上 5,000円未満	3,000円以上 5,000円未満	初めて	インターネット・アプリ	選択なし/該当施設なし		選択なし／該当施設なし		3,000円以上 5,000円未満	満足		満足		感じた	お伺いしたのが冬でしたのて、お部屋は暖房をつけ暖かかったですが、廊下など寒かった	8	バイキング、種類も多く美味しかった	機会があれば行きたい	特になし	女	1968	大阪府	茨木市	1,000万円以上 1,200万円未満	景品が当たる	満足	9	道路など広いので、車での移動をおすすめしたい
加賀エリア	小松空港	2026/01/02	同意する	日帰り	石川県内には宿泊しない	石川県内には宿泊しない	石川県外には泊まらない	中学生以上連れの家族	地元の美味しいものを食べる, 名所、旧跡の観光, まちあるき、都市散策	飛行機	レンタカー	満足	雪が降って来たので、慣れていない者にとってはレンタカーでの移動手段したか考えなれなかった	10,000円以上 20,000円未満	10,000円以上 20,000円未満	20,000円以上 30,000円未満	初めて	Instagram	選択なし/該当施設なし	21世紀美術館　金沢駅	選択なし／該当施設なし		10,000円以上 20,000円未満	とても満足	親切に接してくださったので	満足	充実した時間だった	感じなかった	なし	8		また行きたい（1年以内）	特になし	女	1977	東京都	世田谷区	900万円以上 1,000万円未満	景品が当たる	とても満足	10	海鮮が本当に美味しく、値段も含め大満足
加賀エリア	たちばな四季亭	2026/01/02	同意する	2泊	2泊	加賀エリア （山代温泉、山中温泉、片山津温泉、粟津温泉、辰口温泉、加賀市、小松市など）	石川県外には泊まらない	小学生以下連れの家族	宿でのんびり過ごす, 温泉や露天風呂, 地元の美味しいものを食べる, 名所、旧跡の観光, 買い物、アウトレット, 各種体験（手作り、果物狩りなど）	新幹線	レンタカー	とても満足	駅から近い	100,000円以上	40,000円以上 50,000円未満	50,000円以上 100,000円未満	初めて	インターネット・アプリ	選択なし/該当施設なし	九谷満月	選択なし／該当施設なし	市場	1,000円以上 3,000円未満	満足	中居さんが大変親しみやすく親切、温泉、食事	満足	中居さん、お部屋	感じなかった		7	特にございません	また行きたい（1年以内）	新鮮な魚介や伝統的で洗練されたお土産	女	1975	東京都	中央区	1,500万円以上	石川県がさらに魅力的な場所になって欲しいから	とても満足	9	刺身や鮨がおいしい
加賀エリア	ポイントバケーション加賀山中	2026/01/03	同意する	1泊	1泊	加賀エリア （山代温泉、山中温泉、片山津温泉、粟津温泉、辰口温泉、加賀市、小松市など）	石川県外には泊まらない	親	温泉や露天風呂, 地元の美味しいものを食べる	自家用車	自家用車			10,000円以上 20,000円未満	10,000円以上 20,000円未満	5,000円以上 10,000円未満	2～5回目	TV・ラジオ番組やCM, 観光パンフレット・ポスター, インターネット・アプリ	選択なし/該当施設なし	山中温泉	月うさぎの里		1,000円以上 3,000円未満	どちらでもない		どちらでもない		感じなかった		6		また行きたい（1年以内）	越前ガニが美味しく、人が優しい	女	1999	大阪府	高槻市	500万円以上 600万円未満	景品が当たる, 石川県のおすすめ観光スポットが見たい	とても満足	10	山中温泉　菊の湯
加賀エリア	加賀伝統工芸村　ゆのくにの森	2026/01/03	同意する	2泊	2泊	金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）	石川県外には泊まらない	小学生以下連れの家族	友人・親戚を訪ねる	自家用車	自家用車			使わない	10,000円以上 20,000円未満	1,000円以上 3,000円未満	初めて	インターネット・アプリ, Instagram	ゆのくにの森		選択なし／該当施設なし		3,000円以上 5,000円未満	とても満足	皆さん話しかけてくれて優しかったです。	とても満足	街並みも素敵で、雪も積もっていて風情があって良かったです。	感じた	トイレを使うのに外に出ないといけないときが寒かったです。	10		また行きたい（1年以内）	特になし	女	1984	愛知県	名古屋市	500万円以上 600万円未満	ひゃくまんさんが好き	とても満足	10	ゆのくにの森
加賀エリア	かがにこにこパーク	2026/01/03	同意する	日帰り	石川県内には宿泊しない	石川県内には宿泊しない	岐阜県	小学生以下連れの家族	宿でのんびり過ごす	自家用車	自家用車	とても満足	近くて行きやすい	3,000円以上 5,000円未満	1,000円以上 3,000円未満	1,000円未満	初めて	Instagram, 友人・知人	石川県立航空プラザ		月うさぎの里		1,000円以上 3,000円未満	とても満足	混んでなかった	とても満足	綺麗だった	感じなかった		8		また行きたい（1年以内）	特になし	女	1993	福井県	福井市	400万円以上 500万円未満	景品が当たる	とても満足	6	楽しかった
加賀エリア	日本自動車博物館	2026/01/03	同意する	1泊	1泊	加賀エリア （山代温泉、山中温泉、片山津温泉、粟津温泉、辰口温泉、加賀市、小松市など）	石川県外には泊まらない	中学生以上連れの家族	温泉や露天風呂, 地元の美味しいものを食べる	自家用車	自家用車	満足	高速を降りてから近い	20,000円以上 30,000円未満	30,000円以上 40,000円未満	10,000円以上 20,000円未満	2～5回目	Instagram, 友人・知人	選択なし/該当施設なし	1番にここにきたから	選択なし／該当施設なし	宿泊施設にいく	1,000円以上 3,000円未満	満足	不満見られないような希少やたくさんの車やバイクが見られたから	とても満足	2回目だがずっと楽しめる	感じなかった		10	飲食できるところが欲しい	また行きたい（1年以内）	輪島焼などの焼き物、日本酒や海鮮など	女	1980	滋賀県	長浜市	500万円以上 600万円未満	景品が当たる, 石川県の雑学を知りたい	満足	10	日本自動車博物館
加賀エリア	かがにこにこパーク	2026/01/03	同意する	4泊以上	4泊以上	加賀エリア （山代温泉、山中温泉、片山津温泉、粟津温泉、辰口温泉、加賀市、小松市など）	石川県外には泊まらない	小学生以下連れの家族	宿でのんびり過ごす, お祭りやイベントへの参加・見物, まちあるき、都市散策	自家用車	自家用車, 在来線	不満		40,000円以上 50,000円未満	50,000円以上 100,000円未満	40,000円以上 50,000円未満	2～5回目	TV・ラジオ番組やCM, Instagram	木場潟公園		石川県立航空プラザ		1,000円以上 3,000円未満	満足	ただ、暴言をはく小学生には気分を害された	満足	もっと職員が見回りをすべき	感じた		7		機会があれば行きたい	夜の観光	女	1980	山口県	山口市	1,200万円以上 1,500万円未満	ひゃくまんさんが好き	とても満足	8	
加賀エリア	湖畔の宿　森本	2026/01/03	同意する	1泊	1泊	加賀エリア （山代温泉、山中温泉、片山津温泉、粟津温泉、辰口温泉、加賀市、小松市など）	石川県外には泊まらない	親	宿でのんびり過ごす, 温泉や露天風呂, 花見や紅葉などの自然鑑賞	自家用車	自家用車	とても満足	雰囲気とサービス	30,000円以上 40,000円未満	20,000円以上 30,000円未満	5,000円以上 10,000円未満	初めて	観光パンフレット・ポスター, 観光連盟やDMOのHP	那谷寺		ゆのくにの森		20,000円以上 30,000円未満	とても満足	設備	とても満足	価格とサービスがマッチしている	感じなかった		10	商品の選定がよかった	また行きたい（1年以内）	ご飯（魚）	女	1998	神奈川県	川崎市	500万円以上 600万円未満	景品が当たる, ひゃくまんさんが好き, 石川県のおすすめ観光スポットが見たい	とても満足	10	雰囲気
加賀エリア	大江戸温泉物語 山代彩朝楽	2026/01/03	同意する	1泊	1泊	加賀エリア （山代温泉、山中温泉、片山津温泉、粟津温泉、辰口温泉、加賀市、小松市など）	石川県外には泊まらない	親	宿でのんびり過ごす, 温泉や露天風呂	親の車	親の車	とても満足		1,000円未満	1,000円未満	1,000円未満	2～5回目	観光展・物産展	ゆのくにの森		選択なし／該当施設なし		使わない	とても満足		とても満足		感じなかった		6		石川県在住	なし	女	1998	石川県	能登町	100万円未満	お肉のキャンペーン	満足	6	なし
加賀エリア	小松空港	2026/01/03	同意する	3泊	3泊	金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）	石川県外には泊まらない	夫婦2人	地元の美味しいものを食べる, 名所、旧跡の観光, まちあるき、都市散策	飛行機	路線バス	とても満足	便数も多く快適	50,000円以上 100,000円未満	50,000円以上 100,000円未満	30,000円以上 40,000円未満	初めて	新聞・雑誌・ガイドブック, インターネット・アプリ, 友人・知人	選択なし/該当施設なし		選択なし／該当施設なし		100,000円以上	満足		満足		感じなかった		10		また行きたい（1年以内）	食べ物と日本酒が美味しい	男	1971	北海道	札幌市中央区	1,200万円以上 1,500万円未満	景品が当たる, 石川県の雑学を知りたい	とても満足	10	歴史とグルメがよかった
加賀エリア	法師旅館	2026/01/03	同意する	1泊	1泊	加賀エリア （山代温泉、山中温泉、片山津温泉、粟津温泉、辰口温泉、加賀市、小松市など）	石川県外には泊まらない	恋人	温泉や露天風呂	新幹線	在来線	とても満足	IRいしかわ鉄道を利用した、正月シーズンでも時間通りで暖かく、満足でした。	10,000円以上 20,000円未満	5,000円以上 10,000円未満	20,000円以上 30,000円未満	2～5回目	インターネット・アプリ	選択なし/該当施設なし	なし	ゆのくにの森		1,000円以上 3,000円未満	満足	送迎など厚く歓迎していただいた。外国人のスタッフだと歴史ある建物なので少し残念に思った。	とても満足	歴史があり雰囲気もよく体験施設も充実していた	感じなかった		10	これだけ充実していることに驚いた。むしろ知らなかったので、HPなどでもっと知ることができたら早めにきたかった。	また行きたい（1年以内）	特になし	男	1994	京都府	京都市	500万円以上 600万円未満	景品が当たる	とても満足	10	法師の宿泊と九谷焼関連の施設や体験
加賀エリア	法師旅館	2026/01/03	同意する	1泊	1泊	加賀エリア （山代温泉、山中温泉、片山津温泉、粟津温泉、辰口温泉、加賀市、小松市など）	石川県外には泊まらない	恋人	宿でのんびり過ごす, 温泉や露天風呂, 地元の美味しいものを食べる, 友人・親戚を訪ねる	新幹線	在来線	満足	金沢駅からIRいしかわ鉄道を利用しましたが、乗り換えもわかりやすくスムーズに移動できました。	20,000円以上 30,000円未満	10,000円以上 20,000円未満	30,000円以上 40,000円未満	初めて	インターネット・アプリ	選択なし/該当施設なし		ゆのくにの森		3,000円以上 5,000円未満	満足	古き良き温泉旅館で、求めていた雰囲気を感じることができたため。石川の文化を十分に感じられたのも良かったです。	満足	歴史のある旅館のため少々古さは感じましたが、清潔感もあり、雰囲気があって素敵でした。ぜひまた訪れたいです。	感じなかった		8	旅館内に骨董品などを取り扱うお店があり興味深かったです。1点ずつご説明くださり、とても面白かったですし、ぜひ九谷焼を買って帰りたいと感じました。	また行きたい（1年以内）	地元の特産品や工芸品、歴史を感じられるものだと嬉しいです。	女	1997	京都府	京都市	500万円以上 600万円未満	景品が当たる, ひゃくまんさんが好き, 石川県のおすすめ観光スポットが見たい	とても満足	10	九谷焼関連の施設、絵付け体験など
加賀エリア	法師旅館	2026/01/03	同意する	1泊	1泊	加賀エリア （山代温泉、山中温泉、片山津温泉、粟津温泉、辰口温泉、加賀市、小松市など）	石川県外には泊まらない	中学生以上連れの家族	宿でのんびり過ごす, 温泉や露天風呂, 地元の美味しいものを食べる	自家用車	自家用車	とても満足	距離が短い	10,000円以上 20,000円未満	3,000円以上 5,000円未満	1,000円以上 3,000円未満	2～5回目	インターネット・アプリ	選択なし/該当施設なし		選択なし／該当施設なし	イオンモール	1,000円以上 3,000円未満	満足		満足	お風呂がよかった	感じなかった		7	おいしい和菓子が売っている	また行きたい（1年以内）	温泉	女	1966	福井県	福井市	700万円以上 800万円未満	景品が当たる, なんとなく	満足	8	旅館のお料理
加賀エリア	ポイントバケーション加賀山中	2026/01/03	同意する	2泊	2泊	加賀エリア （山代温泉、山中温泉、片山津温泉、粟津温泉、辰口温泉、加賀市、小松市など）	石川県外には泊まらない	夫婦2人	温泉や露天風呂, 地元の美味しいものを食べる, テーマパーク（遊園地、動物園、博物館など）	新幹線	路線バス	どちらでもない		20,000円以上 30,000円未満	10,000円以上 20,000円未満	30,000円以上 40,000円未満	初めて	インターネット・アプリ	選択なし/該当施設なし	兼六園	選択なし／該当施設なし	恐竜博物館	10,000円以上 20,000円未満	満足		満足	部屋が綺麗	感じなかった		3		機会があれば行きたい	特に無し	男	1956	神奈川県	横浜市保土ヶ谷区	900万円以上 1,000万円未満	石川県のおすすめ観光スポットが見たい	満足	3	
加賀エリア	那谷寺	2026/01/03	同意する	日帰り	石川県内には宿泊しない	石川県内には宿泊しない	石川県外には泊まらない	夫婦2人	初詣	県外から訪れていない（石川県内在住）	自家用車			使わない	1,000円未満	使わない	11回目以上	家族	選択なし/該当施設なし		選択なし／該当施設なし		1,000円以上 3,000円未満	満足	親切	とても満足	景観が良い	感じなかった		10		石川県在住	特になし	女	1972	石川県	小松市	700万円以上 800万円未満	なんとなく	とても満足	10	美味しいものが多い
